,Country,Matches,W,D,L,For,Against,%(Wins)
1,Argentina,29,28,1,-,1150,422,96.55
2,Australia,166,115,7,44,3552,2365,69.28
3,British & Irish Lions,41,30,4,7,700,399,73.17
4,Canada,5,5,-,-,313,54,100.00
5,England,41,33,1,7,985,575,80.49
6,Fiji,5,5,-,-,364,50,100.00
7,France,61,48,1,12,1596,801,78.69
8,Georgia,1,1,-,-,43,10,100.00
9,Ireland,31,28,1,2,871,375,90.32
10,Italy,14,14,-,-,820,131,100.00
11,Japan,4,4,-,-,351,61,100.00
12,Namibia,1,1,-,-,58,14,100.00
13,Pacific Islanders,1,1,-,-,41,26,100.00
14,Portugal,1,1,-,-,108,13,100.00
15,Romania,2,2,-,-,99,14,100.00
16,Samoa,7,7,-,-,411,72,100.00
17,Scotland,31,29,2,-,922,349,93.55
18,South Africa,98,58,4,36,2027,1564,59.18
19,Tonga,5,5,-,-,326,35,100.00
20,USA,3,3,-,-,171,15,100.00
21,Wales,34,31,-,3,1070,374,91.18
22,World XV,3,2,-,1,94,69,66.67
23,Totals,584,451,21,112,16072,7788,77.23
